                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66033,                0.68766,                      1,                 0.6198,             0.00023789,             0.00023789,             0.00023789
                      2,                0.60634,                0.75919,                      1,                0.55637,             0.00046019,             0.00046019,             0.00046019
                      3,                0.53437,                0.78388,                      1,                0.51318,             0.00066677,             0.00066677,             0.00066677
                      4,                0.44044,                0.89169,                      1,                0.43937,             0.00064331,             0.00064331,             0.00064331
                      5,                0.36462,                0.92091,                      1,                0.41636,             0.00061975,             0.00061975,             0.00061975
                      6,                0.33156,                0.92443,                      1,                0.40509,             0.00059619,             0.00059619,             0.00059619
                      7,                0.30773,                0.94358,                      1,                0.39211,             0.00057263,             0.00057263,             0.00057263
                      8,                0.25802,                0.92393,                      1,                 0.3984,             0.00054907,             0.00054907,             0.00054907
                      9,                0.21882,                0.92846,                      1,                0.38939,              0.0005255,              0.0005255,              0.0005255
                     10,                0.20958,                 0.9597,                      1,                0.36232,             0.00050194,             0.00050194,             0.00050194
                     11,                 0.2064,                0.95416,                      1,                0.36756,             0.00047838,             0.00047838,             0.00047838
                     12,                0.16743,                0.95063,                      1,                0.36987,             0.00045482,             0.00045482,             0.00045482
                     13,                0.15867,                0.97632,                      1,                0.34694,             0.00043126,             0.00043126,             0.00043126
                     14,                0.15406,                0.94912,                      1,                0.36863,             0.00040769,             0.00040769,             0.00040769
                     15,                0.13091,                0.98237,                      1,                0.33859,             0.00038413,             0.00038413,             0.00038413
                     16,                0.13181,                0.97985,                      1,                0.34162,             0.00036057,             0.00036057,             0.00036057
                     17,                0.11323,                0.98539,                      1,                0.33398,             0.00033701,             0.00033701,             0.00033701
                     18,                 0.1107,                0.98539,                      1,                0.33338,             0.00031345,             0.00031345,             0.00031345
                     19,                0.11664,                0.98338,                      1,                0.33537,             0.00028988,             0.00028988,             0.00028988
                     20,                0.10013,                0.98791,                      1,                0.33092,             0.00026632,             0.00026632,             0.00026632
                     21,                0.10128,                 0.9869,                      1,                0.32986,             0.00024276,             0.00024276,             0.00024276
                     22,                0.09327,                0.98741,                      1,                0.32915,              0.0002192,              0.0002192,              0.0002192
                     23,                0.08732,                0.99043,                      1,                0.32768,             0.00019564,             0.00019564,             0.00019564
                     24,                0.08328,                0.98942,                      1,                0.32631,             0.00017207,             0.00017207,             0.00017207
                     25,                0.06879,                0.99194,                      1,                0.32445,             0.00014851,             0.00014851,             0.00014851
                     26,                0.07971,                0.98791,                      1,                0.32989,             0.00012495,             0.00012495,             0.00012495
                     27,                 0.0628,                0.98992,                      1,                0.32788,             0.00010139,             0.00010139,             0.00010139
                     28,                0.06438,                0.99194,                      1,                0.32498,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.06055,                0.99043,                      1,                0.32477,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.06186,                0.99043,                      1,                0.32504,             3.0702e-05,             3.0702e-05,             3.0702e-05
